step,split,loss,lr,elapsed_min,kind
0,train,9.80863317489624,1.4999999999999998e-06,0.08212360541025797,eval
0,val,9.801017971038819,1.4999999999999998e-06,0.08212360541025797,eval
0,train,9.813007354736328,1.4999999999999998e-06,0.08522478342056275,train
10,train,9.326457977294922,1.6499999999999998e-05,0.09011533260345458,train
20,train,9.0198974609375,3.149999999999999e-05,0.09526697397232056,train
30,train,8.871885299682617,4.65e-05,0.1019380251566569,train
40,train,8.641953468322754,6.149999999999999e-05,0.11038469473520915,train
50,train,8.315507888793945,7.65e-05,0.11889825661977133,train
60,train,8.0652494430542,9.149999999999999e-05,0.1273432493209839,train
70,train,7.795938491821289,0.0001065,0.1357832630475362,train
80,train,7.453943252563477,0.0001215,0.14425604740778605,train
90,train,7.144547939300537,0.00013649999999999998,0.15269994735717773,train
100,train,7.033292293548584,0.0001515,0.1611633777618408,train
110,train,6.801270008087158,0.00016649999999999998,0.16969794432322186,train
120,train,6.772337913513184,0.0001815,0.1783440073331197,train
130,train,6.777007102966309,0.00019649999999999998,0.18681862751642864,train
140,train,6.531642436981201,0.0002115,0.19548165400822956,train
150,train,6.603250980377197,0.00022649999999999998,0.20427890221277872,train
160,train,6.3882317543029785,0.0002415,0.212981112798055,train
170,train,6.120965957641602,0.0002565,0.2216708739598592,train
180,train,6.231308937072754,0.0002715,0.23047793706258138,train
190,train,6.101125240325928,0.00028649999999999997,0.23925093015034993,train
200,train,6.058842658996582,0.0003,0.24857794841130573,train
210,train,6.05061674118042,0.0002999999999276827,0.25850780407587687,train
220,train,6.010886192321777,0.0002999999997107309,0.2686814268430074,train
230,train,6.014436721801758,0.0002999999993491445,0.27886983156204226,train
240,train,5.986943244934082,0.00029999999884292364,0.2892563780148824,train
250,train,5.900619668960571,0.00029999999819206824,0.37777678966522216,eval
250,val,6.33403323173523,0.00029999999819206824,0.37777678966522216,eval
250,train,5.873011112213135,0.00029999999819206824,0.4596360206604004,train
260,train,5.785788536071777,0.0002999999973965782,0.4653729677200317,train
270,train,5.792938232421875,0.0002999999964564537,0.4704192042350769,train
280,train,5.794981479644775,0.0002999999953716947,0.47580869595209757,train
290,train,5.915146350860596,0.0002999999941423011,0.48344093561172485,train
300,train,5.836578369140625,0.000299999992768273,0.49157662789026896,train
310,train,5.83930778503418,0.0002999999912496103,0.4998216946919759,train
320,train,5.715213298797607,0.00029999998958631313,0.50804709593455,train
330,train,5.7343430519104,0.0002999999877783814,0.5162070989608765,train
340,train,5.658514499664307,0.00029999998582581514,0.5256967067718505,train
350,train,5.7979888916015625,0.0002999999837286144,0.5352832237879436,train
360,train,5.734610557556152,0.0002999999814867791,0.544832690556844,train
370,train,5.7333221435546875,0.00029999997910030925,0.5544551730155944,train
380,train,5.599244594573975,0.00029999997656920496,0.5641538659731548,train
390,train,5.651939868927002,0.0002999999738934661,0.573725946744283,train
400,train,5.605575084686279,0.0002999999710730927,0.5834657073020935,train
410,train,5.532180309295654,0.00029999996810808487,0.5930837790171305,train
420,train,5.581916332244873,0.00029999996499844244,0.6027202844619751,train
430,train,5.643932342529297,0.0002999999617441656,0.6122950633366903,train
440,train,5.548179626464844,0.0002999999583452542,0.6219612916310628,train
450,train,5.467270851135254,0.00029999995480170836,0.6317412455876669,train
460,train,5.4189133644104,0.00029999995111352795,0.6415468136469523,train
470,train,5.478744983673096,0.0002999999472807131,0.6514559785525004,train
480,train,5.319422245025635,0.00029999994330326375,0.6614456494649251,train
490,train,5.421151638031006,0.0002999999391811799,0.6710238973299663,train
500,train,5.459002199172974,0.0002999999349144616,0.7525670766830445,eval
500,val,5.893769989013672,0.0002999999349144616,0.7525670766830445,eval
500,train,5.586705207824707,0.0002999999349144616,0.8352771838506062,train
510,train,5.66063117980957,0.0002999999305031088,0.8406144142150879,train
520,train,5.3356032371521,0.00029999992594712156,0.8455983638763428,train
530,train,5.510872840881348,0.0002999999212464999,0.851850958665212,train
540,train,5.4894585609436035,0.0002999999164012437,0.859843643506368,train
550,train,5.2880659103393555,0.0002999999114113531,0.8679972569147746,train
560,train,5.484541416168213,0.00029999990627682806,0.8761773824691772,train
570,train,5.31657600402832,0.0002999999009976685,0.8842872301737468,train
580,train,5.435813903808594,0.0002999998955738746,0.8924631317456563,train
590,train,5.565985202789307,0.0002999998900054462,0.9009561538696289,train
600,train,5.338737487792969,0.00029999988429238347,0.909410564104716,train
610,train,5.364609241485596,0.0002999998784346862,0.9181177377700805,train
620,train,5.343306541442871,0.00029999987243235456,0.9271039088567098,train
630,train,5.318402290344238,0.0002999998662853886,0.9372276743253072,train
640,train,5.191387176513672,0.00029999985999378816,0.9473664124806722,train
650,train,5.447661399841309,0.00029999985355755337,0.9574912627538045,train
660,train,5.115086555480957,0.0002999998469766841,0.9676380236943563,train
670,train,5.287941932678223,0.0002999998402511806,0.9777772823969523,train
680,train,5.247897148132324,0.00029999983338104263,0.987907886505127,train
690,train,5.329944610595703,0.00029999982636627035,0.9980690320332845,train
700,train,5.464288711547852,0.00029999981920686365,1.0082215269406636,train
710,train,5.213019371032715,0.00029999981190282265,1.0199905991554261,train
720,train,5.331279754638672,0.0002999998044541473,1.0322660247484843,train
730,train,5.358166217803955,0.0002999997968608376,1.044538637002309,train
740,train,5.171742916107178,0.0002999997891228936,1.0568623463312785,train
750,train,5.247044219970703,0.0002999997812403153,1.1553980906804402,eval
750,val,5.629840316772461,0.0002999997812403153,1.1553980906804402,eval
750,train,5.317755699157715,0.0002999997812403153,1.2400864283243815,train
760,train,5.051314353942871,0.00029999977321310266,1.2453399380048116,train
770,train,5.147366046905518,0.0002999997650412557,1.2502639969189961,train
780,train,5.181955337524414,0.0002999997567247745,1.2586561918258667,train
790,train,5.1708245277404785,0.000299999748263659,1.272564915815989,train
800,train,5.32468318939209,0.00029999973965790926,1.2864531556765237,train
810,train,5.189745903015137,0.0002999997309075252,1.3004887064297994,train
820,train,5.35835599899292,0.0002999997220125069,1.314373505115509,train
830,train,5.034454345703125,0.0002999997129728544,1.3283865610758463,train
840,train,5.227732181549072,0.00029999970378856764,1.3422322829564413,train
850,train,5.178031921386719,0.00029999969445964665,1.3560465137163797,train
860,train,5.144673824310303,0.00029999968498609146,1.370050557454427,train
870,train,5.107540130615234,0.0002999996753679021,1.383895202477773,train
880,train,5.1118083000183105,0.0002999996656050785,1.3977230270703633,train
890,train,5.042243003845215,0.00029999965569762067,1.4116059780120849,train
900,train,5.208192825317383,0.00029999964564552875,1.4254283507664998,train
910,train,5.0479736328125,0.0002999996354488026,1.4393177350362143,train
920,train,5.007044792175293,0.00029999962510744233,1.4530552784601847,train
930,train,5.0313334465026855,0.00029999961462144793,1.4668787876764933,train
940,train,5.040742874145508,0.00029999960399081945,1.4808907151222228,train
950,train,5.026373386383057,0.00029999959321555677,1.494897226492564,train
960,train,4.994950294494629,0.00029999958229566,1.508933186531067,train
970,train,5.1283440589904785,0.00029999957123112914,1.5226991256078084,train
980,train,5.031793594360352,0.00029999956002196425,1.5365783452987671,train
990,train,5.116144180297852,0.0002999995486681652,1.550502590338389,train
1000,train,5.062933435440064,0.00029999953716973216,1.6637638211250305,eval
1000,val,5.4054495716094975,0.00029999953716973216,1.6637638211250305,eval
1000,train,5.010146617889404,0.00029999953716973216,1.7344567100207011,train
1010,train,5.049595832824707,0.00029999952552666506,1.740895442167918,train
1020,train,5.004504680633545,0.0002999995137389639,1.7507124066352844,train
1030,train,5.066577911376953,0.00029999950180662876,1.76209583679835,train
1040,train,5.117979049682617,0.0002999994897296596,1.7750788609186807,train
1050,train,5.08152961730957,0.00029999947750805644,1.788675860563914,train
1060,train,5.1204938888549805,0.0002999994651418193,1.802448582649231,train
1070,train,5.115761756896973,0.0002999994526309482,1.8159801244735718,train
1080,train,5.051229953765869,0.00029999943997544313,1.829492159684499,train
1090,train,4.9152960777282715,0.00029999942717530415,1.842972731590271,train
1100,train,5.082367420196533,0.0002999994142305312,1.8564507404963175,train
1110,train,5.0940937995910645,0.00029999940114112434,1.870000143845876,train
1120,train,5.061441898345947,0.0002999993879070836,1.8835477034250896,train
1130,train,4.871360778808594,0.00029999937452840895,1.898767924308777,train
1140,train,4.878088474273682,0.00029999936100510045,1.9165382901827495,train
1150,train,4.864394187927246,0.00029999934733715807,1.9340871373812358,train
1160,train,4.889823913574219,0.0002999993335245819,1.9517200390497844,train
1170,train,4.971624374389648,0.00029999931956737187,1.9692698915799458,train
1180,train,4.797327041625977,0.000299999305465528,1.9867815057436624,train
1190,train,4.963399410247803,0.0002999992912190504,2.0043732325236,train
1200,train,5.008327960968018,0.00029999927682793895,2.0220280726750692,train
1210,train,4.985204696655273,0.0002999992622921938,2.03986496925354,train
